# AGS Estado leg. 8 no. 150 -- working transcription of the ciphertext (PARES images, ~1000 px).
# Trigraph code groups are written as they stand. Runs of cipher signs are in {braces}, in a rough
# glyph notation (to be refined): ll = two long strokes, H = ll crossed, = double bar, #T = double bar
# over a T-foot, $ = the triple-barred staff (paragraph marker), a = alpha, R = barred R, P = "P4" sign,
# D = delta, g+ = barred g, 6, O = barred circle, E = barred E, rt = "rto" ligature, nt, io, z, C, y, q.
# Line numbers are the manuscript lines of each page. '|' separates word groups as spaced by the scribe.

## f. 1r (lines 1-2 in clear: "Despues de scripta la otra carta general que va con esta que es duplicada de otra
##        que en dias passados embiamos a V. Mag. se han offrecido dos cosas sus-")
p1.21  fer Loc lum {Gllp} Loc {qll#Tzt} {p} rum lan xif {D} sum {#Tiotulgant}
p1.22  {p} fer {=t} mix {nt} roc {a} {Gllp rtoa} for Leg toc {p} nex nam pag
p1.23  {Dll=Dll:nt} {aatntpocg+t=} lan log {Dioant} lan rac {a} sin
p1.24  {#Trto} {Rllnt} mix {g+t} {tac#Ta~llntt} ned {g+t} {°p} som sur log
p1.25  da xif nex quo {=g+t} lan {=} lan ril {ant=ll:g+t} {P} sur tao {a} tao
p1.26  {#Tioz°} {$} tah {R} {yroadge=} {yll:} sur rib sur {g+tgll} {mtg+a} pri
p1.27  Loc siz {D} log {Dioll} rac lum sur {#Trto D} sep ned {g+D} lan taha {=a} {e4}
p1.28  lan {g+t=ant+ap} {yll} lor {=} log {g ro g+io} log {D+} sur tiz Len
p1.29  {rHa~} {llaiog+io} log {az+} Len {GllD} tah {Razntll:D} lan

## f. 1v
p2.01  sel Log Loc {artonedg+t} {pD#T} log lan {#Tg+t} {p} sur {yll} {G#TllCa} sur
p2.02  Loc {O#Tioll ntD} tah {allqll:nt} Log lor {ag+t nt} lan {#Tg+t} {p} rip
p2.03  sur Leg {antff} xif {p} tah {R} {aqntll:} {=t} {yioaa} nam xag {p} {tHntll}
p2.04  {aiologg+t} {yll} sur lan sah lan xif tam fer xag {#Tant D} tayo lar
p2.05  sur [fer struck] loc fer pah xim {p} nex sur poc xif puh {ntll:} {$} {p} mix puo {=}
p2.06  {ga} sug {Dio=ioDntD} {p} fer {=t} mix {ntD} lan tah sah roc {a} top
p2.07  te sur tiz pah pit {q°} {P} {p} som sur {allnt6a} fob xif fer tul {ll ant a}
p2.08  {qa D} {Rnt+} {#Tll:ffn~D} mix {=} sac fom {=} sur roc {aa=t} fer {#Tllrto}
p2.09  {Carto} pri tao {a} pox {a} par nt poc Leg {antioD#TntD} {allnt6a} lun
p2.10  {$} {q°} {P} mix so fom Leg sur lar {=} {qioa=} {xaEazt=} fer ne {Hnt}
p2.11  {a#Trto D} sur nam di Log mix {=} pit {ff=} {q} {Eleg ga} fud lan Lep
p2.12  nam {rto aRtnt} {gag+t} Log Lag {antll=} dop {aa=} xub yo {a=}
p2.13  {$} mix {#Trtoa} Lon {=} Log {=artotam#TaPaioarto} mix sot Leg {aa}
p2.14  lan {gllpez} {g+t} {Da} {z#Tp} {D#T} log {ntllaa#Tg+t} som {g+rtoD} log {ant arto}
p2.15  Len {a} {a#Tff=D} hag lan {6#TwRz} {θpar D} sur leg {aa} rol {p} mix {=}
p2.16  sac {g+t=} Log mix {ntHg+t} {$} sum {a#T} xep lan {a} log {aio+rto} ren
p2.17  nod sig sum ril sum pri {=aDllg+t=} tul tam lan {gant Drto} lan
p2.18  {gllrtoll:nt} som sur rol pri rec {ntllaa#Tg+t} puh sum {Hfaant}
p2.19  {nt} mix {=} sum log {aa=t} sue tam {R#Tllqarto} log {Dant} {Cont} pes dam
p2.20  leg lan {gllrtoll:nt} mix {=} tam {ant} leg {aaze4} {Pt} tul {qio=R} {rtoll nt}
p2.21  Lon {=} pez len {a=} fom {=} sur log lag {=} xierto {Dir} nex fer {E#Ty} {aant}
p2.22  fer xif {$} {q°} mix fer {E#Ty} {Da} Leg sur for {O#TioDntD} sur lag {=}
p2.23  {antD} log tup fer {q#Tat} lan xif {a#T} xep {atRioa} {pntD} fer lug
p2.24  lan {=Raayt} {$} nam {xantll:aiog+t} roc {t=} len fap sur tam nam
p2.25  {~antt rto} {aO#Tio} {Dxu} rot {=} len fap {Gll} roc sur leg {aarto} log
p2.26  {D#Tnt} {Ct=} {aO#Tio} log {qiog+t} {=} pri {aioaioa} lum {q°} sur tayo
p2.27  loc {Hzrto pag+} log {Dt} len lum tup fer {q#Tg+t} lan {Rll rtp} lan
p2.28  len {a=} {g+ant aa=} {nt llR qll:=aqioa=} {D} sur pri log {Dant} {Carto}
p2.29  {gll} sur rol {qio θll} sur rum sur rec {a} dup pri tam log {aio} log {qD}
p2.30  roc {gllnt a+} Loc tup fer {q#TDr} sur tiz tam log {aio} log {q} sur
p2.31  lan {R} log lan {asur~t} {D} tam leg {g io} log lan roc {a} tah {=R} log tul {rto}
p2.32  len {a=} pic {aa=} {ntllR} {pll:} {Pantioa=} {p} pri poc {$} {p} sur som toc
p2.33  tam {R#Tll} lan {antll:llnt} sur xif sur {tDtntCa#TD} loc tup
p2.34  fer {q#Tat} pri log {a} log {qioa} sur log {aa=t} sur {xatd#TzioEll:rto}  [= xat d...?]
## (p2.34 continues:) fer {q#Tat} pri log {a} log {qioa} sur log  -- written again as catchword at foot

## f. 2r
p3.01  dup fiz Loc sur tah {=} dop {aa=} {artoq3#Tioll:} {Ell:rto} {=ffC#Tnta=}
p3.02  nam {θfio} log {qt} dup {D} sof {a} tah {+m} {$} {p} sur tul leg xue for pri {=}
p3.03  {qioθfllrto} sur xac {D} lux tum {a#T} pir fiz Loc sif {D} [xif struck] log mix
p3.04  dup sur tam nam {θfll} log nag tam {a#TzioLLEll} leg {aa} som [ha struck] {~}
p3.05  {Rntff=a} {$} {p} sur tul xac leg {aarto} {rtoll#Tgnta} {yll}
p3.06  fer xif tam {Carto aE} log fer tib mix {t} sur xif tam {a}
p3.07  {Rnt+DllaY} {aEff} fob {p...} fob Log nex {=} {nt} Leg {Rll}
p3.08  {Dt=} lan leg {aaqt} sur Log {asur~a=} sah {=} tiz {P} {q°}
p3.09  tah {R} {yioaag+t=a+} if {garto} lan puo {ntap} log mix {=}
p3.10  {aiont6#T=aartoaioa=} sur lan {Rffrto} lan {rtoq} lug pas
p3.11  {p} pri {==ant+io#Ta} nex sur leg tao {#Tiog+t} sur nam {Carg+t=}
p3.12  sum sur ran tam {a#Trtox} mix for Leg toc {$} {D} lan poc lent
p3.13  tah {=t} lum pri {=} sem sur Leg rot sur {=llxD} xif sur log
p3.14  {aa=t} sur xac {artoqll$} Log rep {f°} fer {Ellnt#TD} lent {=}
p3.15  lum {=} lux {p} tam {R nt ll P#Tg+a} sur leg {aa=} dop {aa=} {pntio}
p3.16  {Prtoa} lix {Dllrtoll:g+t} {P} {antllpqz} sur nex {=} lux mix {=}
p3.17  {tuzntioarto} som rot {t} som ped sum reh tam Lon {=} log tah
p3.18  run lan pic fiz lep tul tam nam lan fer {Dio rto #Tant}
p3.19  mix dup lan log {antll} Lag {D} lix {q°} sum mix sot pri {xehioarto}
p3.20  pug mix {=} Lad {=} dop {aa=} fiz mix run lan lux sur xep mix
p3.21  ar puo log {aarto} {ada} {pg+#Tp} {Cnt#Tll=a} tam {C#Trtoq} pri {=}
p3.22  {qioθf} log {$} {p} {R#T} leg {a#Tio=} {ag+t=} {a} xif lent sur
p3.23  {R} {tpff g+t=} {=aDllnt} log {Dioll} pri {=} tah xit lan {allnt}
p3.24  {gio rto aaio} {t rto} toh tayo
##  (blank line: end of the main letter)
p3.25  {$} {P} lam lan Leg {antiog+t} nex tab {=t} lum tah {R} {io g+t} {P}
p3.26  for mix {=} {q+ff°} dop {aa=} lan mix {ntll:z f°} {z iog+llnt} {rrto}
p3.27  {#Tll:} mix {q°} som pij sur xif nam lan {LandllntD} puo {rtoDnt} lan
p3.28  {P+} mix mix dop {aD} sur Leg {gD} Log {=arto} tam {#TaP} {Dioarto}
p3.29  mix sot tix sur {qD} {p} Leg {g ant a} {aD#T} log {ntll6a#Tg+t} dir sur
p3.30  xif {garto} lan so fom {P} {$}   [in clear:] De bitoria a xxx de deziembre de D.xxj
